Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
Analista de Supply Chain Senior,"suprimentos, incluindo entendimento sobre planejamento de demanda e gestão de inventário.Análise dedados: experiência sólida em coleta, organização,análisee interpretação de grandes conjuntos dedadosrelacionados controle e reportes para o monitoramento da cadeia de suprimentos, controlando, através de uma extensaanálisededados",Não informado,Não informado,Analista de Dados
Supervisor de Qualidade,"Realizar a gestão dos analistas da torre de controle da qualidade, garantindo a correta interpretação dosdadospropostas e alternativas, possibilitando a operacionalização das ações e esforços, a partir de estudos eanálisescom as regras de cálculo dos KPIs, caminho para extração dosdadose modelagem de dados.Analisar osdadose desenvolver...",Não informado,Não informado,Analista de Dados
Analista de Incentivos Comerciais - Vaga Exclusiva para Pessoa com Deficiência,"monitoramento dos incentivoscomerciais;• Atualização de apresentações gerenciais mensalmente;• Desenvolveranálisesque conectemdadoscomerciais,remuneração variável, incentivosde vendas para ajudar nossa empresa a tomar melhoresdecisões de negócios;•Analisaras necessidades das partes interessadas, gerandoprodutos PowerPoint);• Experiência com PowerBI;•...",Não informado,Não informado,Analista de Dados
Auxiliar de Garantia Peças Automotivas,".•	Pacote Office Word, Excel e Power Point;•	CNHResponsabilidade do cargo﻿•Analisarpeças que vão receber pesagem e separação dos volumes dos revp (relatório de envio de volumes e peças);•	Apontamento dosdadosrecebimento de revp (relatório de envio de volumes e peças);•	Recebimento de peças que retornam dasanálises",Não informado,Não informado,Analista de Dados
Auxiliar de Garantia Peças Automotivas,".•	Pacote Office Word, Excel e Power Point;•	CNHResponsabilidade do cargo﻿•Analisarpeças que vão receber pesagem e separação dos volumes dos revp (relatório de envio de volumes e peças);•	Apontamento dosdadosrecebimento de revp (relatório de envio de volumes e peças);•	Recebimento de peças que retornam dasanálises",Não informado,Não informado,Analista de Dados
Analista PCM,planos de produção eficientes;- Monitorar o desempenho da produção e fazer ajustes quando necessário;-Analisardadosde produção e identificar oportunidades de melhoria;- Colaborar com outras equipes para garantir equipesRequisitos:- Experiência comprovada em planejamento e controle de produção;- Conhecimento em ferramentas deanálisededados,Não informado,Não informado,Analista de Dados
Técnico da Qualidade,"produtos;- Participar de auditorias internas e externas;- Elaborar relatórios de qualidade;- Monitorar eanalisardadosde qualidade;- Participar de projetos de melhoria contínua.Requisitos:- Formação técnica em Qualidade 14001, OHSAS 18001);- Conhecimento em ferramentas da qualidade (PDCA, FMEA, MASP, 5S);- Habilidade emanálisededadose el...",Não informado,Não informado,Analista de Dados
10630 - Analista Desenvolvedor .net Pleno,"no formato híbrido 1 dia na semana presencialTrabalhar com a parte de programação, também precisaráanalisarem C# / .NET.Princípios de SOLID e Programação Orientada a Objetos (POO).Experiência com bancos dedadosTecnologia da Informação/Informática/Engenharia de Software ou área relacionada;Bom conhecimento de SQL;Análisede requisitos;Manipulação de bas...",Não informado,Não informado,Analista de Dados
Analista Imobiliario Pl,"como: ArcGis, AutoCad, GPS, entre outras;•	Conhecimento em geoprocessamento, georreferenciamento eanáliseExecutar etapas de planejamento, projeto e execução;•	Elaboração de peças técnicas provenientes dosdadosáreas etc., que subsidiarão os diversos projetos de regularização fundiária;•	Coleta e processamento dedadosobtidos por satélites (GNSS);•	Geor...",Não informado,Não informado,Analista de Dados
Analista Comercial Jr (exclusiva para Pessoas com Deficiência),"Atividades:Analisar documentação, formatar e inserirdadosem sistema para emissão de Contratos, Aditivos e Rescisões;Analisar, mapear e implementar automatização do processo de emissão dos contratos com base Implementar processo deanálisede qualidade dos atendimentos mapeados pelo SLA da célula de atendimento de Sistemas e Informações / Estatística / E...",Não informado,Não informado,Analista de Dados
Especialista de Processos,"usuários-chaves, aplicando as técnicas de levantamento de requisitos tais como entrevistas, reuniões,análisede documentos,análisede processos e etc;•Analisare propor melhorias em processos de acordo com o dos critérios da qualidade em todas as atividades, através de reuniões, treinamento e indicadores deanálisedefinir, monitorar e aval...",Não informado,Não informado,Analista de Dados
Analista de Gestão de Compras,"Responsabilidades:- Acompanhar relatórios paraanáliseda performance de fornecedores;-Análiserecorrente dedadosde mercado para auxiliar no processo de negociação e compras;-Análisee interpretação de relatórios redução de custos;- Interação com os processos internos e os procedimentos de compras, negociação eanálisescomuni...",Não informado,Não informado,Analista de Dados
Analista Manutenção Júnior,"Participar de reuniões diárias para capturar necessidades de intervenção;Gestão à vista;Conhecimento deanáliseconhecimentos em Power BI e ter curso de PCM (Planejamento e Controle de Manutenção), ter facilidade de extrairdadosde software de gerenciamento de manutenção.Ter facilidade de integrardadosde planilhas para controles",Não informado,Não informado,Analista de Dados
Gestor de Marketing,.•	Familiaridade com ferramentas de marketing digital eanálisededados.•	Experiência anterior na indústria,Não informado,Não informado,Analista de Dados
Pessoa Vendedora - Região Ne - Maceió/AL,".•Analisardadosdisponíveis em diversos relatórios, para desenvolver planos de ação, focados no desenvolvimento •	Conhecimentos avançados de Excel e Power Point, assim como do Power BI•	Usuário de ferramentas deanálisededadoscomo IQVIA, Scantech, Mtrix.•	Perfil analítico com conhecimento de formação de preços.•	Residir inscrição para pod...",Não informado,Não informado,Analista de Dados
Pessoa Vendedora,".•Analisardadosde mercado (Nielsen, IQVIA) para desenvolver planos de ação efetivos.•	Acompanhar o ou áreas afins.•	Vivência na área de vendas, no varejo de bens de consumo.•	Conhecimento sólido emanálisededadosde mercado e ferramentas como Nielsen, IQVIA, Dunnhumby.•	Disponibilidade para viagens dentro inscrição para podermos te apoiar...",Não informado,Não informado,Analista de Dados
"Bolsista Mestre [engenharias, Estatística, Ciências, Matemática] Bosch","de tecnologias: realizar um levantamento das tecnologias e modelos disponíveis para IA Generativa,análisededadose integração de sistemas, e selecionar as mais adequadas para o projeto.•	Desenvolvimento de aprendizado de máquina.•	Implementação de agentes de IA: desenvolver agentes de IA capazes de acessar eanalisardiferentes fontes dedados",Não informado,Não informado,Analista de Dados
Estagiário Engenharia Química,"das plantas de produção, controle de tempo de batelada, atualização dos indicadores, participação dasanálisesAnalisardados, gerenciamento de alarmes e participação em auditorias.",Não informado,Não informado,Analista de Dados
Analista de Recrutamento e Seleção de Tecnologia,"vaga até a oferta final, garantindo uma experiência de alta qualidade paraos candidatos;• Utilizaranálisededadospara informar ações de recrutamento, adotando umaabordagem orientada pordadospara otimizar Talentos;• Auxiliar na liderança e no desenvolvimento da equipe de atração e seleção;• Acompanhar eanalisarrecrutamento em vagas de TI...",Não informado,Não informado,Analista de Dados
10649 - Analista Desenvolvedor .net (Sustentação),"Sustentação de Produtos, Integrações e Processos;Análisee Desenvolvimento de Sistemas em .Net, C# e Banco dedadosSql Server.",Não informado,Não informado,Analista de Dados
Analista Pl Administrativo,"acompanhar o planejamento financeiro e orçamentário do time de Meio Ambiente.Atividades:Organização dedadosatualização de forecasts da Diretoria;Criação de RCs, POs e lançamentos manuais;Elaboração de planos de ação;AnáliseConhecimento em sistema Oracle e TM1 será um diferencial;Domínio do Excel;Power Bi;Capacidade analítica dedados",Não informado,Não informado,Analista de Dados
Analista de Testes Automatizados Sr.,"Postman, Selenium, Cypress, Oracle EBS, Python, ou JavaScript,Frameworks,Lógica de Programação,Banco deDados, Algoritmo e Estrutura deDados. Conhecimentos sólidos de Engenharia de Software, Conhecimentos sólidos deanálisede sistemas,dados,",Não informado,Não informado,Analista de Dados
Laboratorista de Concreto,".•	Realizar cálculos eanálisesdos resultados para atender às especificações exigidas nos projetos;• Interpretardadosobtidos dos testes para verificar se o concreto atende aos requisitos técnicos e normativos de forma clara e precisa.•	Elaborar cálculos e gráficos de ensaios de concreto, tendo como base osdadosobtidos através dasanálises...",Não informado,Não informado,Analista de Dados
Analista Marketing Digital Sênior,"qualificados;- Gerenciar campanhas de publicidade online, incluindo Google Ads, Facebook Ads e LinkedIn Ads;-Analisardadosde marketing digital e fornecer insights para melhorar o desempenho das campanhas;- Gerenciar online;- Excelentes habilidades analíticas e de comunicação;- Conhecimento avançado de ferramentas deanálisededados, como G...",Não informado,Não informado,Analista de Dados
Trainee Operacional,"prestados;Colaborar com diferentes áreas da empresa para alinhar expectativas e metas dos projetos;AnalisarKanban, Lean Six Sigma Green Belt ou superior);Habilidade no uso de ferramentas de gestão de projetos;Análisededados(Power BI e excel avançado)Capacidade deanálisede indicadores de desempenho e de otimização com mapas de processos e...",Não informado,Não informado,Analista de Dados
Especialista em Controladoria,"trabalhos técnicos da área de Controladoria, relatórios gerenciais, abrangendo organização, levantamento eanálisededados, compilações e consolidações de resultados, avaliações comparativas, montagens e conferências de relatórios, procedendo aanálisese interpretações dedadoscontábeis e de controladoria, documentos administração de audito...",Não informado,Não informado,Analista de Dados
Consultor,"Principais atividades:•	Atuação comanálisededadose modelagem estatística;•	Construção e implementação previsão e diagnóstico;•	Aplicação das Redes Bayesianas em projetos de pesquisa, otimização de processos,análise/fluente.Será considerado um diferencial:•	Mestrado em Estatística, Matemática Aplicada, Ciência deDadosprogramação em Pyth...",Não informado,Não informado,Analista de Dados
Analista de Recursos de Glosas,"Descrição: Responsabilidades:• Realizaranálisedetalhada das glosas hospitalares, identificando motivos Negociar prazos e condições para resolução das glosas, visando minimizar perdas financeiras.• Monitorar eanalisaraos recursos de glosas, propondo ações corretivas e preventivas.• Colaborar com a equipe comercial naanáliseinterpessoal;• Organização, ...",Não informado,Não informado,Analista de Dados
Estagiário de Engenharia - Aracaju - SE,"exercidas:Apoio técnico aos engenheiros;Revisão de procedimentos;Emissão de relatórios;Pesquisa dedadostécnicos;Análisede normas e padrões.Escolaridade:Cursando Engenharia Elétrica, Mecânica ou de Petróleo",Não informado,Não informado,Analista de Dados
Estagiário Acadêmico,"agendada por setorRealizar vistoria quando necessáriaApoiar no planejamento e execução de obrasLeitura eanálisedesafios;Conhecimentos desejáveis:Estar cursando matérias do ciclo profissional de Engenharias""Os seusdadosOsdadospessoais coletados durante o processo seletivo dos candidatos que não forem admitidos neste momento poderão ser mantidos nos ba...",Não informado,Não informado,Analista de Dados
Analista de CRM Marketing,"Análisee Geração de Relatórios:Acompanhar as métricas de performance das campanhas (taxa de conversão higienização da base de leads, removendo duplicatas e contatos inativos, e garantindo que todos osdadosde leads e pipeline de vendas, assim como a capacidade de otimizar a jornada do cliente.Análise deDados: Habilidade em gerar relatórios, interpretar...",Não informado,Não informado,Analista de Dados
Assistente Administrativo(a) de Vendas,"A empresa busca por um(a) profissional com experiência emanálisededadose indicadores de faturamento em vendas, que reúna as seguintes qualificações:Formação acadêmica ou cursando contabilidade, ouanálisedesenvolvimento de sistemas e áreas correlatadas;Conhecimentos básicos de programação e automatização dedadostendências e previsões de...",Não informado,Não informado,Analista de Dados
Diretor de Revenda,avaliações regulares; •	Planejar e implementar estratégias de vendas para atingir os objetivos da empresa;•Analisardadosde mercado para identificar oportunidades de crescimento;•	Desenvolver políticas de preços e promoções ;•	Gerenciar de Relacionamentos com Clientes e Parceiros;•	RealizaranaliseDesempenho e Relatórios; novos produtos e linhas de be...,Não informado,Não informado,Analista de Dados
Bolsista Graduado - Bosch Curitiba - Aceleração da Implementação de Indústria 4.0,"O objetivo é aumentar a competitividade da planta através da digitalização, otimização eanáliseavançada dedadosde produção.Este é um projeto estratégico, com impacto direto na competitividade global da tendências, otimizando o sistema produtivo.•	Explorar Inteligência Artificial e Machine Learning paraanálisededadosexistentes e promove...",Não informado,Não informado,Analista de Dados
Bolsista Graduado - Bosch Curitiba - Aceleração da Implementação de Indústria 4.0,"O objetivo é aumentar a competitividade da planta através da digitalização, otimização eanáliseavançada dedadosde produção.Este é um projeto estratégico, com impacto direto na competitividade global da tendências, otimizando o sistema produtivo.•	Explorar Inteligência Artificial e Machine Learning paraanálisededadosexistentes e promove...",Não informado,Não informado,Analista de Dados
Especialista em Precificação de Operações Logísticas,": Profissional com sólida experiência em precificação de operações logísticas, com habilidades paraanalisarResponsabilidades:
•Analisarcustos operacionais e identificar oportunidades de otimização. • Forte habilidade analítica, com atenção a detalhes e capacidade de interpretar grandes volumes dedados• Visão estratégica, com foco em decisões baseada...",Não informado,Não informado,Analista de Dados
"Enfermeiro - Consultor de Projetos Jr - Jataí, GO",Descrição: Principais atividades:• Alimentação e acompanhamento de input dedadosno sistema Epimed Monitor Projeto;• Suporte aos estagiários nas dúvidas técnicas;• Envio de e-mails e planilhas ao suporte;•Analisar,Não informado,Não informado,Analista de Dados
Analista Sênior de Auditoria Interna,"em Contabilidade, Administração ou áreas afins;- Conhecimento em normas de auditoria;- Habilidade emanálisededadose relatórios;- Pacote Office – Excel Avançado.Idiomas:Inglês - Nível Intermediário e Espanhol",Não informado,Não informado,Analista de Dados
10629 - Analista Desenvolvedor .net Sênior (Curitiba),"formato híbrido de 1 dia na semana presencialTrabalhar com a parte de programação, também precisaráanalisarem C# / .NET.Princípios de SOLID e Programação Orientada a Objetos (POO).Experiência com bancos dedadoscursando ou completa;Bom conhecimento da Linguagem C# .NET Core e .NET Framework;Bom conhecimento de SQL;Analisede requisitos;Manipulação de ba...",Não informado,Não informado,Analista de Dados
Analista de Processos Pleno,"desenho e controle dos processos de gestão da Diretoria e com interfaces relacionadas, consolidação eanálisededados, atuação junto a diversas áreas dentro da Diretoria para orientação e prospecção de informações garante o modelo de gestão do portfólio com reports gerenciais para níveis executivos; consolidação dedados",Não informado,Não informado,Analista de Dados
Estagiário(a) em Engenharia Civil - Departamento de Geotecnia,"Descrição: Atividades:Apoiar na elaboração de planilhas, levantamento dedadosde projeto, compilação dedadosde ensaios.Apoiar na elaboração de desenhos,análisede estabilidade, entre outros, sob a orientação",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"relevantes.Supervisionar e implementar procedimentos de segurança, prevenindo e tratando incidentes.Análise deDadose Relatórios:Analisardadosoperacionais, gerar relatórios periódicos, identificar gargalos operacionais capaz de motivar a equipe para atingir metas e realizar avaliações de desempenho.Forte capacidade deanálisededados, com ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"relevantes.Supervisionar e implementar procedimentos de segurança, prevenindo e tratando incidentes.Análise deDadose Relatórios:Analisardadosoperacionais, gerar relatórios periódicos, identificar gargalos operacionais capaz de motivar a equipe para atingir metas e realizar avaliações de desempenho.Forte capacidade deanálisededados, com ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"relevantes.Supervisionar e implementar procedimentos de segurança, prevenindo e tratando incidentes.Análise deDadose Relatórios:Analisardadosoperacionais, gerar relatórios periódicos, identificar gargalos operacionais capaz de motivar a equipe para atingir metas e realizar avaliações de desempenho.Forte capacidade deanálisededados, com ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"relevantes.Supervisionar e implementar procedimentos de segurança, prevenindo e tratando incidentes.Análise deDadose Relatórios:Analisardadosoperacionais, gerar relatórios periódicos, identificar gargalos operacionais capaz de motivar a equipe para atingir metas e realizar avaliações de desempenho.Forte capacidade deanálisededados, com ...",Não informado,Não informado,Analista de Dados
Team Leader - Exclusivo Pcd,"profissional será responsável por liderar uma equipe de 6 a 8 pessoas, apoiando o time de execução comdadosAlém disso, dará suporte ao time de monitoramento das rotas de last mile comanálisesde causa raiz e Kangu, participando da agenda semanal de transportadoras com a liderança do SVC.Outros requisitos: •Análise",Não informado,Não informado,Analista de Dados
Líder de Logística (Team Leader) - Exclusiva Pcd,"profissional será responsável por liderar uma equipe de 6 a 8 pessoas, apoiando o time de execução comdadosAlém disso, dará suporte ao time de monitoramento das rotas de last mile comanálisesde causa raiz e Kangu, participando da agenda semanal de transportadoras com a liderança do SVC.Outros requisitos: •Análise",Não informado,Não informado,Analista de Dados
Líder de Logística (Team Leader),"profissional será responsável por liderar uma equipe de 6 a 8 pessoas, apoiando o time de execução comdadosAlém disso, dará suporte ao time de monitoramento das rotas de last mile comanálisesde causa raiz e Kangu, participando da agenda semanal de transportadoras com a liderança do SVC.Outros requisitos: •Análise",Não informado,Não informado,Analista de Dados
Estagiário(a) Aba,"à Supervisora: Prestar suporte na implementação de estratégias e intervenções planejadas.Registro eAnálise: Ajudar na coleta e registro dedadossobre o progresso dos pacientes, contribuindo para aanálisee",Não informado,Não informado,Analista de Dados
Auxiliar de Engenharia (VAGA Extensiva para Pessoas com Deficiência),MédioPrincipais Atividades:Auxiliar no desenvolvimento de projetos;Acompanhar a execução de obras;Coletar eanalisardados;Gerenciar documentação técnica;Promover a comunicação e colaboração.Outros requisitos: ﻿,Não informado,Não informado,Analista de Dados
Auxiliar de Vendas,Preparar propostas comerciais;Coletar eanalisardadosrelevantes para o momento das vendas.Manter comunicação,Não informado,Não informado,Analista de Dados
Analista de Pessoas Jr - Captação.,novos e atuais parceiros;Captação de candidatos para o cargo de atendente;Acompanhamento do Mailing eanálisedosdados;Criação de material para postagem;Participação em eventos e ações externas.Desejável Ensino,Não informado,Não informado,Analista de Dados
Analista de Planejamento de Demanda,"Descrição: Responsável por projetar a demanda futura com base emdadoshistóricos de vendas e informações Realizar modelagem/previsão de demanda por SKU e categoria,analisandotendências de mercado e necessidades",Não informado,Não informado,Analista de Dados
Analista de Controladoria Sr,"D'oesteResponsabilidades:Elaborar relatórios de resultados econômico-financeiros no fechamento mensal, incluindoanálisese verificação de consistência dedados;Realizar aanálisede resultado global da empresa e suas variações acompanhar e divulgar indicadores de gestão;Participar da gestão matricial de despesas;Auxiliar a gestão emanálises",Não informado,Não informado,Analista de Dados
Advogado I,"Atender às consultas, emitindo pareceres, visando a melhor orientação à assistência jurídica preventiva;-Analisar, elaborar e revisar termos contratuais, notificações extrajudiciais e procurações,analisandodados",Não informado,Não informado,Analista de Dados
Supervisor de Operações,"equipamentos;Desenvolver e implementar estratégias para melhorar a eficiência operacional;Gerenciar,analisarreuniões semanais de acompanhamento com time de Operações, Comercial e processos de manutenção.Monitorar eanalisarSupervisor de Operações ou em um cargo similarConhecimento em gestão de equipes e processosHabilidade emanálisededados",Não informado,Não informado,Analista de Dados
Técnico de Monitoramento Pleno- Ouro  Branco/MG,"Ouro Branco/MGDescrição das atividades:• Serviços de inspeção de equipamentos rotativos e coleta dedadosde vibração.• Aplicação de técnicas específicas deAnálisede Vibrações na identificação de problemas Alinhamento e balanceamento de campo• Elabora relatórios técnicos e gerenciais.• Cumprir o programa mensal deanálisepreditiva, buscando de oportunid...",Não informado,Não informado,Analista de Dados
Técnico de Monitoramento Pleno - Primavera/PA,": Primavera/PADescrição das atividades:• Serviços de inspeção de equipamentos rotativos e coleta dedadosde vibração.• Aplicação de técnicas específicas deAnálisede Vibrações na identificação de problemas Alinhamento e balanceamento de campo• Elabora relatórios técnicos e gerenciais.• Cumprir o programa mensal deanálisepreditiva, buscando de oportunid...",Não informado,Não informado,Analista de Dados
Técnico de Monitoramento Pl- Corumbá/MS,"Atuação: Corumbá/MSDescrição das atividades:• Serviços de inspeção de equipamentos rotativos e coleta dedadosde vibração.• Aplicação de técnicas específicas deAnálisede Vibrações na identificação de problemas Alinhamento e balanceamento de campo• Elabora relatórios técnicos e gerenciais.• Cumprir o programa mensal deanálisepreditiva, buscando de opor...",Não informado,Não informado,Analista de Dados
Técnico de Monitoramento Pl- Sobradinho/DF,"Sobradinho/DFDescrição das atividades:• Serviços de inspeção de equipamentos rotativos e coleta dedadosde vibração.• Aplicação de técnicas específicas deAnálisede Vibrações na identificação de problemas Alinhamento e balanceamento de campo• Elabora relatórios técnicos e gerenciais.• Cumprir o programa mensal deanálisepreditiva, buscando de oportunida...",Não informado,Não informado,Analista de Dados
Analista Novos Negócios Pleno,"parceiros nacionais e internacionais;Apoio na prospecção de novas parcerias, oportunidades de negócio eanáliseConstrução de planilhas de viabilidade econômica de cada projeto;Desenvolvimento de Business Cases comdadosfinanceiros e técnicos dos projetos;Auxílio naanálisee negociação de Contratos;Responsável pelos processos Administração, Farmácia, Mar...",Não informado,Não informado,Analista de Dados
Técnico de Monitoramento Pl,"Santa CatarinaDescrição das atividades:• Serviços de inspeção de equipamentos rotativos e coleta dedadosde vibração.• Aplicação de técnicas específicas deAnálisede Vibrações na identificação de problemas Alinhamento e balanceamento de campo• Elabora relatórios técnicos e gerenciais.• Cumprir o programa mensal deanálisepreditiva, buscando de oportunid...",Não informado,Não informado,Analista de Dados
Coordenador de Laboratório,LABORATÓRIOATIVIDADESExerce a gestão administrativa e técnicas da unidade;Apresenta relatórios de acompanhamento dedadossemanaisREQUISITOSEnsino Superior Completo em Química;Registro Ativo;Experiência em gestão de laboratório deanálises,Não informado,Não informado,Analista de Dados
Assistente Operacional - Transporte Vazio,"da programação alocando os recursos adequados (Frota Marimex, agregados e/ou terceiros) e inserir osdados(placas do veículo edadosdo motorista) em sistema,analisandoas características da mercadoria;Outros",Não informado,Não informado,Analista de Dados
Estagio em Logística - Sorocaba,"Descrição: ESTÁGIO - LOGÍSTICASuporte naanálisee acompanhamento de pedidos de produção, revisando as Apoio no controle de entregas de pedidos inter-company,analisandoetapas de produção e expedição no revisando riscos dos respectivos indicadores, acompanhamento dos planos de consumo, preenchimento eanáliseBoa comunicação e pró-atividade;- Conhecimento...",Não informado,Não informado,Analista de Dados
Analista Novos Negócios Sênior,"departamentos diversos e clientes internos, assim como parceiros nacionais e internacionais;Levantamento eanáliserealizando mapeamento estratégico das mesmas;Conduzir negociações estratégicas com os parceiros;Construção eanáliseprojeto;Desenvolvimento e apresentação de Business Case para stakeholders, contendo avaliação econômica edadosde viabilidade...",Não informado,Não informado,Analista de Dados
Pessoa Vendedor (a) - Salvador - Bahia,"clientes sob sua gestão.Monitorar o mercado, identificar oportunidades e propor ideias inovadoras.Analisardadosprévio em vendas no varejo de bens de consumo, preferencialmente no alimentar •	Conhecimento sólido emanálisededadosde mercado •	Disponibilidade para viagens dentro da região. inscrição para podermos te apoiar.É um compromisso da NIVEA resgu...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"relevantes.Supervisionar e implementar procedimentos de segurança, prevenindo e tratando incidentes.Análise deDadose Relatórios:Analisardadosoperacionais, gerar relatórios periódicos, identificar gargalos operacionais capaz de motivar a equipe para atingir metas e realizar avaliações de desempenho.Forte capacidade deanálisededados, com ...",Não informado,Não informado,Analista de Dados
10641 - Programador de Sistemas Full Stack Pleno,"programação, compreensão dos princípios básicos de desenvolvimento de software, como estruturas dedadosestilização de páginas web.Controle de Versão: Experiência básica com Git.Noções básicas de bancos dedadose manipulação dedadosusando SQL ou outras tecnologias de banco de dados.Desejável:Experiência em lidar propor melhorias e buscar oportunidades ...",Não informado,Não informado,Analista de Dados
Analista de Vendas Sr,"Realizar o cálculo de custo, elaboração de propostas comerciais, emissão de relatórios gerenciais,análisededadosde mercado e índices econômicos, além da administração de contratos e documentos auditáveis .•	Participar do planejamento de vendas,análisede lucratividade e negociação de reajuste de preços",Não informado,Não informado,Analista de Dados
Analista Logístico,e garantir a disponibilidade dos produtos;- Coordenar o transporte e a distribuição dos produtos;-Analisarcomprovada na área de logística;- Conhecimento em sistemas de gestão de estoque e transporte;- Habilidade emanálisededadose resolução de problemas;- Boa comunicação e habilidade em trabalhar em equipe.Se você se identifica,Não informado,Não informado,Analista de Dados
Analista de Farmacovigilância (Pcd) - São Paulo,"internos, incluindo estudos clínicos e mercados.Se você está pronto para colocar suas habilidades deanáliseorganização: Fundamental para gerenciar múltiplas tarefas e manter registros precisos.Competências emAnálisedeDados: Necessárias para a coleta, entrada e interpretação dedadosno sistema de Farmacovigilância.Flexibilidade",Não informado,Não informado,Analista de Dados
Especialista FP&A,"de resultado operacional realista e alcançável para o Grupo Guanabara.Desafios do Cargo:• Realizaranálisesas metas e objetivos da empresa.• Elaborar os DRGs e RDG.• Atuar junto a área Contábil do CSC paraanálisese indicação de melhores práticas;• Revisar asanálisesdo imobilizado.• Conduzir a criação e atualização financeira, planejamento orçamentário...",Não informado,Não informado,Analista de Dados
Técnico de Laboratório,"Descrição: Principais atividades: • Realizaranálisescríticas visando garantir a qualidade e atender as necessidades do cliente;• • Realizar a leitura dosdadosdos ensaios laboratoriais,analisare efetuar Executar os ensaios de proficiência quando necessário e solicitado pelo gestor;• Lançar no sistema eanalisar",Não informado,Não informado,Analista de Dados
Comprador Pleno,"das atividades:• Gestão estratégica e eficiente dos processos de Suprimentos e compras, por meio deanálisededados, identificação e tendências de mercado para tomar decisões estratégicas; • Realizaranálisespreço, qualidade e prazo de pagamento ;• Desenvolver novos fornecedores e produtos;• Responsável pelasanálises",Não informado,Não informado,Analista de Dados
10650 - Analista de Melhoria Contínua,"Buscar soluções eanalisaros casos recepcionados pelos canais mais críticos, realizar estudos analíticos , conformedadosdisponíveis. Identificar, através dasanálisesde inputs e revisão de processos, quais melhorias devem ser implantadas Melhoria Contínua e Lean Manufacturing/ Six Sigma – 5S, Kaizen, TPMConhecimentos de Processos – BPMN,Análise<...>",Não informado,Não informado,Analista de Dados
COORDENADOR(a)ADMINISTRATIVO(a),instituição.Necessário:Graduação completa;Pacote Office - avançadoExperiência em hospitais e/ou clínicas na áreaadministrativa,Não informado,Não informado,Analista de Dados
CoordenadorAdministrativo,"Descrição:  O CoordenadorAdministrativodesempenhará um papel crucial na organização, coordenando e a compras, contratos, gestão de arquivos, recepção, manutenção predial, viagens e outras atividadesadministrativasum ambiente acolhedor e funcional, e colaborará com diferentes áreas para garantir que as atividadesadministrativasdiretamente os programas...",Não informado,Não informado,Analista de Dados
Gerentede Área,"Descrição: Adecco, líder mundial de soluções de RH, está presente em 60 países, com mais de 5.500 filiais em que trabalham mais de 30.000 pessoas, em parceria com mais de 100.000 empresas clientes, distribuídas por todo o mundo. Oferecemos uma ampla variedade de serviços voltados para Recursos Humanos. Assessoramos multinacional do ramo de ferramentas. Principais responsabilidades:Responsável p...",Não informado,Não informado,Analista de Dados
SupervisorAdministrativoFinanceiro,"Descrição: Gestão das áreasadministrativo-financeira. trimestral, semestral e anualmente, via sistema.Outros requisitos: Experiência em gestão das áreasadministrativo-financeira",Não informado,Não informado,Analista de Dados
GerenteComercial Agro,"Descrição: Nosso cliente é uma das maiores instituições financeiras do mundo, com presença em diversos países e foco em inovação digital no setor bancário.Principais Responsabilidades:- Visitar e prospectar clientes;- Criar oportunidades para atender plenamente o Agro;- Instituir junto a equipe de crédito limites;- Boletar operações;- Estar apto a acompanhar o desenvolvimento de operações e con...",Não informado,Não informado,Analista de Dados
SupervisorAdministrativode Vendas,"Descrição: VAGA QUE SE APLICA A PCD TAMBÉM.Supervisionar o time de vendas internas, bem como dar suporte e ferramentas para desenvolvimento do mesmo a fim de atender os objetivos desejados da gestão e área comercial.    Garantir a operacionalização do processo de vendas conforme a necessidade do cliente e a capacidade operacional;   Garantir que a venda seja entregue integralmente dentro dos pa...",Não informado,Não informado,Analista de Dados
SupervisorAdministrativo- Condomínios,"Descrição: Irá atuar como administrador de um condomínio, com as seguintes tarefas:Abertura de leilão de fornecedores (equalizações, contato com possíveis fornecedores, negociações);Gerenciamento das finanças do condomínio;Gerenciamento dos fornecedores terceirizados (controle de documentação, solicitação de aditivos e ajustes de contrato, renovação ou distrato);Elaboração e controle de relatór...",Não informado,Não informado,Analista de Dados
GerenteContábil / Contador,"Descrição: Gerenciar e supervisionar todas as atividades contábeis da empresa, incluindo a preparação de demonstrações financeiras, balanços, DREs e relatórios de fechamento mensal e anual.Garantir a conformidade com as normas contábeis, regulamentações fiscais e legislação vigente, incluindo a adoção de novos padrões contábeis (como IFRS).Coordenar o processo de auditoria interna e externa, ga...",Não informado,Não informado,Analista de Dados
SubGerente- Outlet Catarina,;🍫 Supervisionar e orientar a equipe de vendas para garantir um excelente atendimento ao cliente;🍫Auxiliar,Não informado,Não informado,Analista de Dados
