Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
Analista de Engenharia deDadosJr,"principal foco o cuidado com as pessoas.Criar soluções em Dashboards, explorando técnicas atuais paraanálisede grandes volumes dedadoconstruindoanálisesinterativas que apoiem as áreas de negócios na tomada Principais atividades: • Auxiliar no desenvolvimento e manutenção de pipelines dedadose bancos dedados, conseguindo ...",Não informado,Não informado,Analista de Dados
Analista de Inteligência deDadosJr.,"Descrição: O que você irá fazer:Coletardadosrelevantes de diversas fontes, incluindo bancos dedadosregistros, e organizá-los de forma estruturada para análise.Analisar e interpretar grandes conjuntos dedadosestratégicas.Identificar oportunidades para a melhoria de processos internos e eficiência operacional com base naanálisedados.Cria...",Não informado,Não informado,Analista de Dados
Estágio Universitário deDados,"requisitos: A Gerdau, uma multinacional brasileira, está contratando Estagiário (a) Universitário (a) deDadosO (a) Estagiário (a) deDados, vai desempenhar atividades na área de Planejamento e Projetos Logísticos da Comercial Gerdau, auxiliando na busca dedadose construção de informações que possam colaborar na ;Realização de consultas em banco de",Não informado,Não informado,Analista de Dados
"Estágio em Precificação,Análisee Aceitação de Riscos (Udw)","Além disso, a pessoa atuará no levantamento dedadospara gerar, atualizar e acompanhar relatórios gerenciais",Não informado,Não informado,Analista de Dados
Analista Gestao Sinistros Pl e Sr -Dados,"Descrição: Oportunidade para atuar no time deanálisede sinistro saúde, afim de identificar oportunidade custos com as seguintes responsabilidades:- Elaboração de estudos de comportamento de custos, através daanáliseas ações e projetos de data analytics da diretoria, com foco na digitalização e ganho na escala dasanálisesSuperior completo em Estatísti...",Não informado,Não informado,Analista de Dados
Analista deDadosde Saúde e Odonto Jr,"Descrição: Oportunidade para atuar junto ao time dedados, com as seguintes atividades:- Atuar em conjunto ;- Capacidade para interpretardados, descobrindo padrões e tendências, utilizando técnicas de exploração , visualização e storytelling;- Conduzir estudos de ponta a ponta com técnicas deanálisededados;- Desenvolver dashboards e constr...",Não informado,Não informado,Analista de Dados
Especialista deDados- Power Bi,"Descrição: Construção,análise, publicação e gestão dosdadosde RHAtuação Corporativa como ponto focal de RH paradadosCriação de métricas para diagnóstico HCAnálise preditiva de HCAtuação em RHDesejável",Não informado,Não informado,Analista de Dados
Analista deDadosde Saúde e Odonto Sr,"Descrição: Oportunidade para atuar na área dedadosdo Sinistro Saúde e Odonto, desenvolvendo as seguintes preferencialmente em Exatas (Atuária, Matemática, Gestão Hospitalar, entre outras);• Necessário conhecimento emanálisemédicos (AMB, CBHPM, TUSS, Brasindice eSIMPRO) aplicáveis à Saúde Suplementar;• Ter conhecimento emanálisededados, ...",Não informado,Não informado,Analista de Dados
Consultor(a) de Planejamento e Informações (Dados),"no desenvolvimento de materiais e relatórios estratégicos, participando da apresentação e defesa dasanálises",Não informado,Não informado,Analista de Dados
Analista de Banco deDadosOracle,Descrição: Responsabilidades e atribuições• Gerenciar e manter os bancos dedadosOracle;• Conhecimento com RMAN e scripts powershell;• Monitorar a performance dos bancos dedadose ajustar parâmetros para com regulamentos de proteção dedadose políticas internas;• Oferecer suporte técnico para resolver problemas de banco dedados;•Ana...,Não informado,Não informado,Analista de Dados
Cientista deDados(VAGA Extensiva para Pessoas com Deficiência),"Descrição: Estamos em busca de um(a) Cientista deDadospara se juntar à nossa equipe! Se você é apaixonado(a) pordadoseanálise, tem habilidades em programação e está sempre em busca de DFFormação: Ciência da computação, engenharia da computação, estatística, especialização em ciência dedados, incluindo bancos dedados, refer...",Não informado,Não informado,Analista de Dados
Bolsista Mestre - Grupo Boticario - Metodologias Espectroscópicas Inovadoras naAnálisepara Matérias,"geral.Idioma: Inglês - Nível básico (leitura)Principais Atividades:Capacidade de conduzir pesquisas,analisardadose interpretar resultados para tomada de decisões.Boas habilidades de comunicação oral e escrita.Aptidão do projeto (soft skills).Técnicas analíticas de laboratório.Conhecimento necessário:Conhecimento emanálisesmetodologias.Experiência em q...",Não informado,Não informado,Analista de Dados
"Bolsista Mestre [ciência deDados, Engenharia da Computação, Ti, Correlatas] Thyssenkrupp","inovação ThyssenKrupp em parceria com IEL | IPT.Pré-requisitos:• Formação: Mestrado;• Cursos: Ciência deDadosApresentação do mapeamento e dos principais pontos encontrados;• Apresentação do plano de trabalho;•Análisedas transações SAP e desenvolvimento dos ""cubos"";•Análisesde hipóteses e testes;• Desenvolvimento dos dashboards;• Validação dosd...",Não informado,Não informado,Analista de Dados
"Bolsista Graduado (Design Estratégico, Ti, Ciências deDados, Ciências Exatas) SESI","parceria com IEL | IPT.Pré-requisitos:• Título: Graduado• Formação: Design Estratégico, Ciências deDados, Ciências Exatas, Design, Design Gráfico, Tecnologia da Informação ouAnálisee Desenvolvimento de Sistemas.Atividades :•Analisaras principais soluções digitais da organização: banco dedados,análisede restrições, fluxo a...",Não informado,Não informado,Analista de Dados
"Bolsista Mestre [ciências deDados, Ciências da Saúde, Biomedicina, Gestão de Projetos] SESI","• Revisar pesquisas/discussões/autores sobre saúde e segurança versusanálisepreditiva, cruzamento de digital na saúde e segurança;•Analisaras principais soluções digitais da organização: banco dedados,análisede restrições, fluxo de telas, interface do usuário, regras do negócio, arquitetura, fluxo de informações, plataforma web, conteú...",Não informado,Não informado,Analista de Dados
"Bolsista Graduado (Ciências deDados, Ciências Exatas, Ciências da Saúde, Gestão de Projetos) SESI","Ciências da ComputaçãoAtividades:• Revisar pesquisas/discussões/autores sobre saúde e segurança versusanáliserevisada versus inteligência digital na saúde e segurança;•Analisaras principais soluções digitais da organização: banco dedados,análisede restrições, fluxo de telas, interface do usuário, regras • Manter-se atualizado com as últ...",Não informado,Não informado,Analista de Dados
